ID,Company,Initiative,Type,CIQ,CIQ_name,Country,Industry,Ultimate_parent,Count_member,Count_group,Country_listed,Country_match
6791,EFG Asset Management,FAIRR,General,IQ52424962,EFG Asset Management (UK) Limited,GB,Financials,EFG International AG,4,5,GB,TRUE
8349,EFG ASSET MANAGEMENT,TNFD Forum,Climate Change,IQ52424962,EFG Asset Management (UK) Limited,GB,Financials,EFG International AG,4,5,,
2288,EFG Hermes,UNPRI,General,IQ2472872,EFG-Hermes Holding S.A.E,EG,Financials,EFG-Hermes Holding S.A.E,1,2,EG,TRUE
2289,EFG International AG,UNPRI,General,IQ24046771,EFG International AG,CH,Financials,EFG International AG,1,5,CH,TRUE
2290,EFM (Ecotrust Forest Management),UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,US,FALSE
8350,EFTEC,TNFD Forum,Climate Change,IQ30512736,Eftec,BE,Materials,Eftec,1,1,,
2291,e-fundresearch.com Data GmbH,UNPRI,General,IQ130408058,e-fundresearch.com Data GmbH,AT,Communication Services,e-fundresearch.com Data GmbH,1,1,AT,TRUE
2292,EG Funds Management,UNPRI,General,IQ109017965,EG Funds Management Pty Ltd,AU,Financials,EG Property Group Pty Ltd,2,2,AU,TRUE
10552,EG Funds Management,Investor Group on Climate Change,,IQ109017965,EG Funds Management Pty Ltd,AU,Financials,EG Property Group Pty Ltd,2,2,,
2293,EGAMO,UNPRI,General,IQ165761460,EGAMO,FR,Financials,UMG Groupe VYV,3,6,FR,TRUE
6840,EGAMO,FAIRR,General,IQ165761460,EGAMO,FR,Financials,UMG Groupe VYV,3,6,FR,TRUE
7998,EGAMO,Finance for Biodiversity Pledge,Biodiversity,IQ165761460,EGAMO,FR,Financials,UMG Groupe VYV,3,6,FR,
2294,Egeria,UNPRI,General,IQ6152838,Egeria Capital Management B.V.,NL,Financials,Egeria Capital Management B.V.,1,1,NL,TRUE
2295,Egerton Capital,UNPRI,General,IQ1586412,Egerton Capital Limited,GB,Financials,Egerton Capital Limited,1,1,GB,TRUE
10219,Ehong Capital,Global Impact Investment Network,,IQ577923268,Ehong Capital,CN,Financials,Ehong Capital,1,1,,
2296,EHP Funds Inc.,UNPRI,General,IQ713533835,EHP Funds Inc.,CA,Financials,EHP Funds Inc.,1,1,CA,TRUE
2297,Eicos Investment Group,UNPRI,General,IQ1677726832,Eicos Investment Group Limited,GB,0,Eicos Investment Group Limited,1,1,GB,TRUE
2298,Eiffel Investment Group,UNPRI,General,IQ140694091,Eiffel Investment Group S.A.S.,FR,Financials,Impala SAS,1,1,FR,TRUE
2299,EIG,UNPRI,General,IQ30484431,"Employers Holdings, Inc.",US,Financials,"Employers Holdings, Inc.",1,1,US,TRUE
9135,EIG Global Energy Partners,PCAF,Climate Change,IQ36312469,EIG Global Energy Partners,US,Financials,EIG Global Energy Partners,1,1,US,TRUE
2300,Eiger Capital,UNPRI,General,IQ708504039,Eiger Capital Llp,GB,0,Eiger Capital Llp,1,1,AU,FALSE
8351,Eight Associates,TNFD Forum,Climate Change,IQ403664691,"High Eight Associates, Llc",US,0,"High Eight Associates, Llc",1,1,,
7121,Eika Gruppen AS,Principles for Responsible Banking,General,IQ23711982,Eika Gruppen AS,NO,Financials,Eika Gruppen AS,1,2,NO,TRUE
2301,Eika Kapitalforvaltning AS,UNPRI,General,IQ27482295,Eika Kapitalforvaltning,NO,Financials,Eika Gruppen AS,1,2,NO,TRUE
2302,EIM Capital,UNPRI,General,IQ712542454,EIM Capital,FR,Financials,EIM Capital,1,1,FR,TRUE
2303,EIRIS Foundation,UNPRI,General,IQ282703744,Eiris Foundation,GB,Industrials,Eiris Foundation,1,1,GB,TRUE
2304,Eisai Corporate Pension Fund,UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,JP,FALSE
6916,EJF Philanthropies,FAIRR,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,GB,FALSE
2305,Ekkio Capital,UNPRI,General,IQ238043329,Ekkio Capital,FR,Financials,Ekkio Capital,1,1,FR,TRUE
9136,Ekobanken*,PCAF,Climate Change,IQ99197455,Ekobanken Medlemsbank,SE,Financials,Ekobanken Medlemsbank,1,1,SE,TRUE
8352,Ekos Brasil Institute,TNFD Forum,Climate Change,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,,
10909,Eksport Kredit Fonden,Equator Principles,,IQ8925658,EKF Denmark's Export Credit Agency,DK,Financials,EKF Denmark's Export Credit Agency,1,1,DK,TRUE
10220,Elah Fund,Global Impact Investment Network,,IQ411694964,Elah Fund,IL,Financials,Elah Fund,1,1,,
2306,Elah Impact Management Ltd.,UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,IL,FALSE
2307,Elaia Partners,UNPRI,General,IQ6324648,Elaia Partners,FR,Financials,Elaia Partners,1,1,FR,TRUE
2308,"Electron Capital Partners, LLC",UNPRI,General,IQ228884139,"Electron Capital Partners, LLC",US,Financials,"Electron Capital Partners, LLC",2,2,US,TRUE
11107,"Electron Capital Partners, LLC",Institutional Investor Group on Climate Change,Climate,IQ228884139,"Electron Capital Partners, LLC",US,Financials,"Electron Capital Partners, LLC",2,2,,
2309,Elementa Management AB,UNPRI,General,IQ374944854,Elementa Management AB,SE,Financials,Elementa Management AB,1,1,SE,TRUE
8353,Elemis LTD,TNFD Forum,Climate Change,IQ46370827,Elemis Ltd,GB,Consumer Staples,L'Occitane Groupe S.A.,1,1,,
8354,Elephant Protection Initiative Foundation,TNFD Forum,Climate Change,IQ654061688,The Elephant Protection Initiative Foundation,GB,Industrials,The Elephant Protection Initiative Foundation,1,1,,
2310,Eleva Capital,UNPRI,General,IQ609973245,Eleva Capital,FR,Financials,Eleva Capital,1,1,FR,TRUE
10221,Elevar Equity,Global Impact Investment Network,,IQ99553038,"Elevar Equity, LLC",US,Financials,"Elevar Equity, LLC",1,1,,
10222,Elevate Capital,Global Impact Investment Network,,IQ322031131,Elevate Capital,US,Financials,Elevate Capital,1,1,,
2311,Elevation Advisors LLP,UNPRI,General,IQ659470129,Elevation Advisors Llp,GB,0,Elevation Advisors Llp,1,1,GB,TRUE
2312,Elevation Equity Partners,UNPRI,General,IQ631722504,Elevation Equity Partners,KR,Financials,Elevation Equity Partners,1,1,HK,FALSE
2313,Elevation Ventures (Provisional Signatory),UNPRI,General,IQ704927834,Elevation Ventures Limited,IE,0,Elevation Ventures Limited,1,1,US,FALSE
2314,ELF Capital,UNPRI,General,IQ699043528,ELF Capital Advisory GmbH,DE,Financials,ELF Capital Advisory GmbH,1,1,DE,TRUE
2315,Elion Partners,UNPRI,General,IQ247287882,"Elion Partners, LLC",US,Financials,Sarisa Elion Llc,1,1,US,TRUE
8355,Ellen MacArthur Foundation,TNFD Forum,Climate Change,IQ315879632,Ellen MacArthur Foundation,GB,Industrials,Ellen MacArthur Foundation,1,1,,
6306,Ellerston Capital,CA100+,Climate change,IQ25452537,Ellerston Capital Limited,AU,Financials,Ellerston Capital Limited,2,4,AU,TRUE
2316,Ellerston Capital Limited,UNPRI,General,IQ25452537,Ellerston Capital Limited,AU,Financials,Ellerston Capital Limited,2,4,AU,TRUE
2317,Ellington Management Group,UNPRI,General,IQ4492002,"Ellington Management Group, L.L.C.",US,Financials,"Ellington Management Group, L.L.C.",1,1,US,TRUE
2318,ELLIPSIS AM,UNPRI,General,IQ595606536,Ellipsis Am Suisse SARL,CH,0,Kepler Cheuvreux SA,1,2,FR,FALSE
2319,Elmwood Asset Management LLC,UNPRI,General,IQ569952277,Elmwood Asset Management LLC,US,Financials,Clobbers Investment Inc,1,1,US,TRUE
2320,Elo Mutual Pension Insurance Company,UNPRI,General,IQ878185,Elo Mutual Pension Insurance Company,FI,Financials,Elo Mutual Pension Insurance Company,5,5,FI,TRUE
6307,Elo Mutual Pension Insurance Company,CA100+,Climate change,IQ878185,Elo Mutual Pension Insurance Company,FI,Financials,Elo Mutual Pension Insurance Company,5,5,FI,TRUE
9885,Elo Mutual Pension Insurance Company,Paris Aligned Asset Owners,Climate Change,IQ878185,Elo Mutual Pension Insurance Company,FI,Financials,Elo Mutual Pension Insurance Company,5,5,,
10730,Elo Mutual Pension Insurance Company,Montreal Carbon Pledge,,IQ878185,Elo Mutual Pension Insurance Company,FI,Financials,Elo Mutual Pension Insurance Company,5,5,,
11108,Elo Mutual Pension Insurance Company,Institutional Investor Group on Climate Change,Climate,IQ878185,Elo Mutual Pension Insurance Company,FI,Financials,Elo Mutual Pension Insurance Company,5,5,,
2321,EM8 Private Equity,UNPRI,General,IQ704611512,Em8 Private Equity,FR,0,Em8 Private Equity,1,1,FR,TRUE
2322,Embark Investments Limited,UNPRI,General,IQ645576958,Embark Investments Limited,GB,Financials,Embark Investments Limited,1,1,GB,TRUE
